Scenario,ID,CruiseShip,label,Initial,Intervention,Number of crew,Number of passengers,Trip duration (days),Crew Groups of 1,Crew Groups of 2,Crew Groups of 3,Crew Groups of 4,Passenger - Initial exposed,Passenger - Initial infected symptomatic,Passenger - Initial infected asymptomatic,Passenger - Recovered,Crew - Initial exposed,Crew - Initial infected symptomatic,Crew - Initial infected asymptomatic,Crew - Recovered,Crew Contagion Probability - In network,Passenger Contagion Probability - In network,Pass-Pass Dining Contagion Probability,Pass-Pass Entertainment Contagion Probability,Pass-Pass Nightlife Contagion Probability,Pass-Pass Kids Contagion Probability,Crew-Crew Food Contagion Probability,Crew-Crew Housekeeping Contagion Probability,Crew-Crew Entertainment Contagion Probability,Crew-Passenger Food Contagion Probability,Crew-Passenger Entertainment Contagion Probability,Crew-Passenger Housekeeping Contagion Probability,Quarantine,Quarantine day,Quarantine trigger,Decrease in prob transmission,Vaccination,Vaccination Selection,Vax Coverage Kids,Vax Coverage Teens,Vax Coverage Adults,Vax Coverage Seniors,Vax Effectiveness Kids,Vax Effectiveness Teens,Vax Effectiveness Adults,Vax Effectiveness Seniors,Testing,Testing Protocol,Testing Capacity,Testing Days,Test TPR - Sym,Test TNR - Sym,Test TPR - Asym,Test TNR - Asym,Masking,Masking Selection,Masking Duration,Masking Coverage Passegers,Masking Coverage Crew
1,ST_I1_L_S_X_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,FALSE,NA,NA,NA,NA
2,ST_I1_X_X_X_X,std_net,NA,initial_std_net_I3,no,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
3,ST_I1_L_S_L_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,15,80
4,ST_I1_L_S_M_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,45,80
5,ST_I1_L_S_H_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,75,80
6,ST_I1_L_ST_X_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S+CC,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,FALSE,NA,NA,NA,NA
7,ST_I1_L_ST_L_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S+CC,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,15,80
8,ST_I1_L_ST_M_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S+CC,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,45,80
9,ST_I1_L_ST_H_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,TRUE,S+CC,2800,"2,3,4,5,6,7,8,9,10,11,12,13,14",0.73,0.991,0.547,0.997,TRUE,random,NA,75,80
10,ST_I1_L_X_X_X,std_net,NA,initial_std_net_I3,yes,800,2000,14,0.02,0.58,0.2,0.2,0,3,0,0,0,0,0,0,0.24,0.24,0.11,0.11,0.11,0.14,0.11,0.11,0.11,0.11,0.11,0.11,FALSE,NA,NA,NA,TRUE,random,15,20,20,40,85,87,88,75,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
