"","scenario","label","initial_infections","count_exp","perc_exp","mean_E_pass","CI_pass_exp","AR_pass","mean_Is_pass","CI_pass_Is","SR_pass","mean_Q_pass","CI_pass_Q","DR_pass","mean_E_crew","CI_crew_exp","AR_crew","mean_Is_crew","CI_crew_Is","SR_crew","CI_crew_Q","DR_crew"
"1",1,"L_S_X","I1",483,96.6,5.6,"(5.3-6)",0.3,2,"(2-2.1)",0.1,1.5,"(1.4-1.5)",0.1,0.2,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"2",2,"X_X_X","I1",500,100,13.3,"(12.8-13.8)",0.7,2.5,"(2.4-2.6)",0.1,0,"(0-0)",0,2.3,"(2.1-2.5)",0.3,0.1,"(0.1-0.2)",0,"(0-0)",0
"3",3,"L_S_L","I1",480,96,5.1,"(4.8-5.4)",0.3,2,"(1.9-2.1)",0.1,1.4,"(1.3-1.4)",0.1,0.2,"(0.2-0.2)",0,0,"(0-0)",0,"(0-0)",0
"4",4,"L_S_M","I1",485,97,4.4,"(4.1-4.7)",0.2,1.9,"(1.8-2)",0.1,1.4,"(1.4-1.5)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"5",5,"L_S_H","I1",473,94.6,4,"(3.7-4.2)",0.2,1.9,"(1.8-2)",0.1,1.4,"(1.3-1.4)",0.1,0.2,"(0.1-0.2)",0,0,"(0-0.1)",0,"(0-0)",0
"6",6,"L_ST_X","I1",472,94.4,5.4,"(5.1-5.8)",0.3,1.9,"(1.9-2)",0.1,2.5,"(2.4-2.6)",0.1,0.2,"(0.2-0.2)",0,0,"(0-0)",0,"(0-0)",0
"7",7,"L_ST_L","I1",461,92.2,4.7,"(4.4-5)",0.2,1.8,"(1.7-1.9)",0.1,2.5,"(2.4-2.6)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"8",8,"L_ST_M","I1",449,89.8,4.1,"(3.8-4.4)",0.2,1.8,"(1.7-1.9)",0.1,2.4,"(2.3-2.5)",0.1,0.2,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"9",9,"L_ST_H","I1",439,87.8,3.3,"(3.1-3.5)",0.2,1.6,"(1.6-1.7)",0.1,2.4,"(2.3-2.5)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0.1)",0,"(0-0)",0
"10",10,"L_X_X","I1",500,100,10,"(9.6-10.4)",0.5,2.2,"(2.1-2.3)",0.1,0,"(0-0)",0,0.4,"(0.4-0.5)",0,0,"(0-0.1)",0,"(0-0)",0
"11",11,"H_S_X","I1",451,90.2,2.4,"(2.3-2.6)",0.1,1.6,"(1.5-1.7)",0.1,1.3,"(1.2-1.3)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"12",12,"H_S_L","I1",429,85.8,2.3,"(2.2-2.5)",0.1,1.6,"(1.5-1.7)",0.1,1.3,"(1.2-1.3)",0.1,0.1,"(0.1-0.1)",0,0,"(0-0)",0,"(0-0)",0
"13",13,"H_S_M","I1",440,88,2.1,"(1.9-2.2)",0.1,1.5,"(1.5-1.6)",0.1,1.2,"(1.2-1.3)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"14",14,"H_S_H","I1",406,81.2,1.8,"(1.7-2)",0.1,1.5,"(1.4-1.5)",0.1,1.2,"(1.2-1.2)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"15",15,"H_ST_X","I1",410,82,2.1,"(2-2.3)",0.1,1.4,"(1.4-1.5)",0.1,2.1,"(2.1-2.2)",0.1,0.1,"(0.1-0.2)",0,0,"(0-0)",0,"(0-0)",0
"16",16,"H_ST_L","I1",380,76,1.8,"(1.6-1.9)",0.1,1.3,"(1.3-1.4)",0.1,2.1,"(2-2.2)",0.1,0.1,"(0.1-0.1)",0,0,"(0-0)",0,"(0-0)",0
"17",17,"H_ST_M","I1",374,74.8,1.6,"(1.5-1.8)",0.1,1.3,"(1.3-1.4)",0.1,2.1,"(2-2.1)",0.1,0.1,"(0.1-0.1)",0,0,"(0-0)",0,"(0-0)",0
"18",18,"H_ST_H","I1",324,64.8,1.3,"(1.2-1.5)",0.1,1.3,"(1.2-1.3)",0.1,2,"(2-2.1)",0.1,0.1,"(0-0.1)",0,0,"(0-0)",0,"(0-0)",0
"19",19,"X_S_X","I1",497,99.4,8.4,"(7.9-8.8)",0.4,2.3,"(2.2-2.4)",0.1,1.5,"(1.5-1.6)",0.1,1.5,"(1.3-1.6)",0.2,0.2,"(0.1-0.2)",0,"(0.1-0.1)",0
"20",20,"X_S_L","I1",491,98.2,7.4,"(7-7.8)",0.4,2.3,"(2.2-2.4)",0.1,1.5,"(1.5-1.6)",0.1,1.3,"(1.2-1.5)",0.2,0.2,"(0.1-0.2)",0,"(0.1-0.1)",0
"21",21,"X_S_M","I1",489,97.8,6.5,"(6.1-6.9)",0.3,2.2,"(2.1-2.3)",0.1,1.5,"(1.4-1.5)",0.1,1.4,"(1.2-1.5)",0.2,0.2,"(0.1-0.2)",0,"(0.1-0.1)",0
"22",22,"X_S_H","I1",490,98,5.2,"(4.9-5.6)",0.3,2.1,"(2-2.2)",0.1,1.5,"(1.4-1.5)",0.1,1.3,"(1.1-1.4)",0.2,0.2,"(0.1-0.2)",0,"(0.1-0.1)",0
"23",23,"X_ST_X","I1",492,98.4,7.5,"(7-7.9)",0.4,2.1,"(2-2.2)",0.1,2.5,"(2.4-2.6)",0.1,1.5,"(1.3-1.7)",0.2,0.2,"(0.1-0.2)",0,"(0.1-0.2)",0
